food_item,calories,proteins,carbohydrates,fats,fibers,sugars
Tomato And Anchovy Pasta,755,24,109,22,19,9
Blueberry Cream Muffins,264,4,32,13,0,13
One-Pot Lemon Garlic Shrimp Pasta,678,38,49,37,4,2
One-Pot Garlic Parmesan Pasta,334,13,49,10,1,6
Chocolate Mug Cake,500,8,72,20,4,36
3-Ingredient Teriyaki Chicken,366,48,20,9,0,17
3 Ingredient Peanut Butter Cookies,81,2,5,5,0,3
Garlic Shrimp Bacon Alfredo,1147,58,101,63,4,8
Creamy Cajun Pasta,887,18,83,52,4,12
Creamy Chicken Penne Pasta,703,47,37,46,2,5
Easy One-Pot Mac ‘n’ Cheese,865,33,71,47,0,12
Jacket Potato: The Pizazz,105,0,24,0,13,11
One-Pot Cheeseburger Pasta,699,33,66,29,0,12
Garlic Shrimp Scampi,810,61,86,23,3,3
One-Pot Broccoli Cheddar Soup,889,35,29,71,30,9
Healthy Banana Pancakes,186,7,30,4,4,10
Buttermilk Pancakes,450,15,64,14,8,10
Creamy Lemon Chicken,636,56,31,34,35,2
How To Make The Fluffiest Pancakes,301,7,33,15,13,6
Spaghetti With Garlic And Oil,299,7,42,10,1,1
Easy Glazed Pork Chops,512,35,9,37,0,8
Honey BBQ Chicken Wings,181,8,20,7,2,13
Microwave 5-Minute Mac 'N' Cheese,448,19,65,11,2,4
3-ingredient Mac & Cheese,803,37,100,27,3,18
Easy Beef And Broccoli,445,34,32,17,1,14
Weekday Meal-Prep Pesto Chicken & Veggies,394,23,15,28,5,7
Weekday Meal-prep Chicken Teriyaki Stir-fry,404,41,49,6,5,36
Chocolate Hazelnut Mug Cakes,729,15,79,38,6,57
Cookies and Cream Cheesecake Cookies,239,2,26,14,0,13
Baked Churro Bites,43,1,4,2,0,0
No-Bake Cookies and Cream Cheesecake,716,11,30,62,0,22
Grilled Cheese,1897,69,312,42,13,27
The Fluffiest Vegan Pancakes,157,3,32,1,1,4
One Skillet Ground Beef Stroganoff,992,39,95,41,2,17
One-Pot Taco Spaghetti,625,41,52,26,4,6
Cacio e Pepe (Spaghetti with Cheese and Pepper),429,15,46,21,1,1
Shrimp Spinach Bacon Alfredo,1413,82,102,81,4,9
Asparagus-Stuffed Chicken Breast,209,35,2,5,1,0
