food_item,calories,proteins,carbohydrates,fibers,sugars,sodium
Andrea'S,257,5.7,40.2,2.9,3.0,544
Archway,497,4.3,65.0,2.0,34.1,270
Archway,460,3.0,61.2,5.1,45.2,200
Archway,400,4.7,68.2,2.1,34.3,331
Archway,431,4.5,69.4,2.6,35.4,384
Archway,430,4.4,64.8,0.7,33.4,449
Archway,420,3.5,69.1,1.0,38.4,605
Archway,435,4.9,66.8,2.0,37.2,377
Archway,403,4.3,69.4,1.2,36.4,577
Archway,421,5.5,68.2,2.9,34.5,394
Archway,406,5.2,69.3,2.7,39.6,339
Archway,406,4.3,70.6,1.1,36.1,561
Archway,468,5.2,72.2,1.8,32.6,471
Archway,480,9.0,58.5,2.8,32.6,404
Archway,400,4.4,65.9,2.2,31.8,334
Archway,424,4.7,76.2,1.1,36.3,406
Archway,400,4.4,65.9,2.2,31.8,377
Archway,442,5.5,67.2,1.9,1.3,308
Artificial,407,4.7,77.5,3.33,19.0,760
Austin,494,7.5,60.0,1.3,13.5,900
Austin,489,7.8,62.6,1.3,14.3,978
Austin,495,7.9,61.4,1.8,14.6,839
Austin,479,7.7,66.2,2.0,17.3,584
Austin,493,7.9,62.0,1.3,12.6,910
Austin,484,7.6,65.7,2.0,16.7,582
Austin,492,10.8,59.0,3.2,9.0,843
Austin,489,10.6,60.2,3.2,11.6,772
Bagels,274,9.8,55.2,2.3,6.0,344
Bagels,294,10.6,59.3,2.5,6.4,370
Bagels,278,10.6,53.0,2.3,19.0,505
Bagels,255,10.7,53.3,3.6,1.6,590
Bagels,250,10.2,48.9,4.1,6.1,439
Barbara Dee,515,3.9,67.1,2.0,35.8,290
Bear Naked,423,6.6,66.9,7.0,35.2,200
Bear Naked,443,7.5,61.6,7.1,29.4,133
Biscuits,263,6.1,47.4,3.33,19.0,670
Biscuits,353,7.0,44.6,1.5,2.2,580
Bread,195,5.2,43.3,4.7,2.4,631
Bread,297,11.3,46.4,4.9,2.7,409
Bread,408,10.4,44.8,2.1,2.1,750
Bread,266,6.7,43.5,3.33,19.0,658
Bread,260,8.7,49.5,5.5,19.0,538
Bread,287,9.5,47.8,2.3,1.8,380
Bread,315,10.5,52.6,2.5,1.9,417
Bread,272,10.8,51.9,2.2,4.6,602
Bread,298,5.4,51.2,5.5,11.3,515
Bread,309,7.3,49.1,4.9,9.8,510
Bread,290,6.6,56.0,2.6,19.0,398
Bread,271,8.8,50.1,3.2,3.2,550
Bread,236,10.4,39.8,4.5,7.7,353
Bread,259,11.4,43.7,4.9,8.5,387
Bread,269,8.4,48.5,4.0,8.1,447
Bread,292,9.2,52.7,4.3,8.8,486
Bread,262,9.8,55.9,6.1,2.9,527
Bread,266,12.5,47.1,6.3,9.4,375
Bread,245,12.1,43.8,3.0,1.4,404
Bread,275,9.5,52.2,7.1,0.6,655
Bread,201,8.0,41.3,12.0,3.5,459
Bread,210,7.6,43.3,3.33,19.0,388
Bread,203,9.1,40.5,12.0,2.3,513
Bread,217,13.3,42.5,11.1,3.7,332
Bread,207,8.7,44.3,9.7,4.8,479
Bread,243,8.9,43.5,4.9,4.7,269
Bread,264,9.7,47.3,5.3,5.1,292
Bread,267,10.7,48.7,4.0,5.9,508
Bread,248,8.8,47.8,4.0,9.7,486
Bread,293,10.7,54.3,2.3,4.1,621
Bread,238,10.7,43.9,9.2,5.0,478
Bread,266,8.9,49.4,2.7,5.7,490
Bread,285,7.9,49.6,2.0,19.0,359
Bread,274,7.7,53.6,2.0,19.0,336
Bread,252,12.5,42.7,6.0,4.3,455
Bread,278,8.4,51.4,6.0,3.8,346
Breakfast Tart,372,4.0,76.8,1.5,4.9,361
Cake,324,2.9,61.6,3.7,27.4,101
Cake,356,3.9,49.2,3.33,19.0,327
Cake,319,3.5,50.5,0.8,19.0,319
Cake,283,5.4,61.0,1.1,34.3,341
Cake,346,6.1,48.5,3.33,19.0,506
Cake,399,3.6,60.3,3.2,37.8,332
Cake,374,3.5,64.0,1.0,37.3,470
Cake,356,4.4,63.2,1.0,57.4,284
Cake,391,3.0,56.2,0.3,41.8,269
Cheesecake,274,5.5,35.5,1.9,19.0,380
Cinnamon Buns,452,4.5,48.6,1.2,25.7,305
Cookies,503,4.1,68.8,1.9,33.8,348
Cookies,507,4.5,67.9,2.3,32.0,380
Cookies,562,8.1,52.9,3.5,30.9,371
Cookies,405,4.8,63.9,2.1,36.6,286
Cookies,466,6.2,50.2,3.33,19.0,343
Cookies,467,6.1,68.9,0.8,20.2,282
Cookies,467,6.1,68.9,0.8,19.0,351
Cookies,425,2.9,63.5,0.0,38.2,279
Cookies,444,3.6,65.8,1.8,37.1,276
Cookies,450,3.9,73.4,1.6,39.8,244
Cookies,488,5.7,58.2,3.33,19.0,341
Cookies,488,5.7,58.4,2.8,19.0,361
Cookies,447,10.0,51.1,5.0,25.0,213
Cookies,436,2.9,76.2,2.9,41.2,471
Cookies,464,5.2,71.0,2.9,40.7,388
Cookies,461,4.5,68.0,4.1,19.7,342
Cookies,497,4.3,68.2,2.7,46.0,351
Cookies,440,3.2,63.3,1.6,40.3,210
Cookies,378,4.2,84.0,1.6,45.4,31
Cookies,349,5.0,78.3,2.8,19.0,192
Cookies,416,5.6,76.9,2.2,19.9,501
Cookies,474,2.2,76.0,2.5,49.0,275
Cookies,541,4.1,62.8,1.6,41.0,122
Cookies,515,0.0,74.4,0.0,42.3,111
Cookies,493,2.7,74.6,0.5,46.7,201
Cookies,500,4.0,66.8,2.2,37.3,265
Cookies,430,6.7,77.7,3.4,24.9,459
Cookies,386,5.7,78.0,5.7,22.9,629
Cookies,365,10.6,59.7,1.0,25.4,147
Cookies,363,10.6,59.7,1.0,19.0,147
Cookies,406,7.1,70.5,3.5,21.2,370
Cookies,421,4.0,67.7,2.0,44.8,188
Cookies,435,4.6,63.3,0.0,40.9,341
Cookies,430,5.6,73.8,1.0,17.6,459
