food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Mango and chilis pickles - Mother's receip,"84 kj
(20 kcal)",,1 g,1.5 g,,,
Max Protein - Rite it’s,"1,117 kj
(267 kcal)",20 g,14.8 g,,5 g,,
Kamarkat - 100 gm,"1,891 kj
(452 kcal)",2 g,,,,,
Сырок глазурованный ваниль - Ферма,"1,678 kj
(401 kcal)",11.7 g,29.3 g,26.1 g,1.1 g,29 g,
Ibugesic,,,,,,,0%
Salted Peanuts - Panjwani,"2,551 kj
(609 kcal)",0 g,28.26 g,47.78 g,19.26 g,7.26 g,17.98 g
Special suji rusk - Veer jee,"497 kj
(118 kcal)",2.1 g,1.4 g,2.6 g,,,
Frooti Mango drink,"352 kj
(84 kcal)",,15.8 g,,0.4 g,15.8 g,
Chives Kimchi - 80Million Kimchi,"149 kj
(35 kcal)",3.571 g,3.571 g,,3.571 g,,
Masala  oats - Soffola,"556 kj
(133 kcal)",2.8 g,23.8 g,3 g,2.4 g,2.4 g,
Kai Murruku - Anna bytes,"2,231 kj
(533 kcal)",10 g,56.667 g,30 g,0.333 g,1.667 g,
Insight Banana Loose Powder,,,,,,,0%
Parle G - 55g,"1,900 kj
(454 kcal)",6.9 g,77.3 g,13 g,,25.5 g,0.74 g
malt vinegar - heinz,,,,,,,0%
Yummy - Anmol - 35g,"696 kj
(474 kcal)",6.27 g,74.47 g,16.89 g,,29.6 g,0.535 g
White Toast - Innlay Bakery,"1,684 kj
(402 kcal)",11.905 g,83.333 g,2.381 g,,91.667 g,
Shrimp,"333 kj
(79 kcal)",19.469 g,,,,,
Strawberry milk - SHATTO,"1,506 kj
(360 kcal)",12 g,46 g,13 g,,30 g,
Spaghetti - Lubella,"1,469 kj
(351 kcal)",13 g,70 g,1.4 g,3 g,4.2 g,
Chicken tikka - Sardar,"711 kj
(170 kcal)",15.27 g,6.4 g,9.28 g,,,
Taka tak - 100g,"2,272 kj
(543 kcal)",7 g,50 g,35 g,,0.5 g,
Brut - 283g,283 g,,,,,,
Eggs - Mae’s Eggs,"598 kj
(142 kcal)",12.698 g,,9.524 g,,,
Bread - iD,"1,194 kj
(285 kcal)",0 mg,0.8 g,2.9 g,0 g,1.5 g,55.2 g
Dark chocolate Muesli - Yoga bar,"1,828 kj
(437 kcal)",13.3 g,67 g,13.3 g,9.4 g,6.7 g,
Super muesli - Yoga Bar,"1,778 kj
(425 kcal)",17.4 g,39.8 g,21.6 g,15.1 g,,
Cuajada hondureña - La cremosita,"293 kj
(70 kcal)",5 g,1 g,5 g,,,
Zesty Orange - Santé,"129,704 kj
(31000 kcal)",0.3 g,7.75 g,0.2 g,0.05 g,7.4 g,
Super Spoon - Kri Kri,"590 kj
(141 kcal)",15 g,20 g,,,19 g,
Muesli+ - Yoga Bar,"1,749 kj
(418 kcal)",13 g,70 g,9.5 g,7.5 g,4.8 g,0 g
राम बंधू पापड मसाला - 100g,"205 kj
(49 kcal)",1.82 g,9.48 g,0.37 g,8.17 g,,
Saffola Oats,"1,440 kj
(345 kcal)",12.6 g,66.8 g,5.3 g,10.4 g,,
Dal makhani - Kohinoor,"348 kj
(83 kcal)",2.9 g,13.9 g,3.2 g,4.8 g,0.2 g,
Fit mix - Jewel farmer,"2,364 kj
(565 kcal)",15 g,34.7 g,40.7 g,12.8 g,12.6 g,
Protien bar - Yoga bar,"1,121 kj
(268 kcal)",20 g,19.2 g,14.7 g,10.6 g,5.6 g,
Milk Chocolate Chickpea Snacks - Lebby,"2,092 kj
(500 kcal)",11.905 g,52.381 g,26.19 g,7.143 g,,
Vegan Cocktail samosa - Haldiram’s minute khana,"1,423 kj
(340 kcal)",5.4 g,40 g,17.4 g,10 g,1 g,
Krombachers Fassbrause Zitrone - Krombacher,"121 kj
(29 kcal)",,7.1 g,,,6.7 g,
Chat at matar - Bingo,"1,987 kj
(475 kcal)",,59 g,20 g,,10 g,
sanju,20 g,20 g,20 g,,20 g,20 g,20 % vol
Salted Caramel - Häagen-Dazs,"1,151 kj
(275 kcal)",4 g,28.1 g,16.3 g,,25.3 g,
RandomTest - TestBrand,13 g,,,5.2 g,,,0%
Chocobar chocoholic - The brooklyn creamery,"753 kj
(180 kcal)",3.818 g,22.182 g,12.182 g,3.273 g,3.091 g,
Litchi - Real,"234 kj
(56 kcal)",0.1 g,14 g,,,14 g,
Cuppa Rice - Daawat,"1,192 kj
(285 kcal)",13.1 g,64.7 g,10 g,,0.5 g,
Mango - B Natural,"444 kj
(106 kcal)",0.1 g,15 g,,1 g,3.4 g,
Protein - Food strong,"1,598 kj
(381 kcal)",72.121 g,15.455 g,3.333 g,,10.606 g,
Nissin,"1,519 kj
(363 kcal)",9 g,66 g,17 g,9 g,6 g,
Plix  fit and slim smoothie chocolate,"595 kj
(142 kcal)",15.13 g,14.6 g,2.6 g,3.7 g,5.2 g,
Sei White Tea - Teamonk,"8 kj
(2 kcal)",0.43 g,0.03 g,0.03 g,,,
Yummy Guava - Paper boat,"234 kj
(56 kcal)",,14 g,,,13.5 g,
Chicken breast - Zorabian,"477 kj
(114 kcal)",25.6 g,,1.3 g,,,
Granola - Fit flex,"393 kj
(94 kcal)",1.9 g,16.8 g,1.1 g,1.3 g,3.7 g,
Horlicks classic malt - Hindustan Unilever Ltd - 500g,,,,,,,0%
High protein paneer - Punjab Sindh,"669 kj
(160 kcal)",22 g,4.5 g,6 g,,,
8.90101E+12,,,,,,,0%
Bullet coffee - Mad coffee,"8,786 kj
(2100 kcal)",20 g,50 g,220 g,20 g,,
Oreo Original chocolate sandwich biscuits -,"2,008 kj
(480 kcal)",5.5 g,70.3 g,19.7 g,,37.8 g,"1,245 g"
rahul,,,,,,,0%
Protein powder - ASITIS,"1,785 kj
(426 kcal)",93.333 g,3.733 g,4.667 g,2.8 g,,
Oreo Original chocolate sandwich biscuits - 46.3g,"2,021 kj
(483 kcal)",5.2 g,71.9 g,19.6 g,0 g,38.8 g,"1,050 g"
ranishaco 21,,,,,,,0%
Banana chips - Kozhi,"2,138 kj
(511 kcal)",2.5 g,65.7 g,27.3 g,7.9 g,,
Plain Yogurt - Parag,"243 kj
(58 kcal)",3 g,4 g,3 g,,,
Whole truth protein bar,"2,084 kj
(498 kcal)",23.846 g,36.538 g,28.462 g,4.808 g,28.462 g,
Imitation Snow crab,"438 kj
(104 kcal)",9.88 g,11.39 g,2.18 g,,3.95 g,
Atea - 25,,,,,,,0%
Foxtail  millet - Manna,"444 kj
(106 kcal)",5 g,33 g,1 g,3 g,,
Organic Mojito,"234 kj
(56 kcal)",0 g,14 g,0 g,,13.6 g,
Banana chips Peri-Peri - Ol’tymes,"602 kj
(144 kcal)",0.7 g,15.3 g,8.9 g,0.88 g,5.9 g,
Tim tim walnut - kashmir walnut group - 250g,"2,874 kj
(687 kcal)",15.6 g,11 g,,,,
Moov - 1,,,,,,,0%
Himalaya since 1930,,,,,,,0%
Oats - Turbo,7.8 g,,,2 g,12 g,12 g,
Naan  Nature - Haldiram’s,"1,033 kj
(247 kcal)",6.6 g,46.1 g,4 g,0.2 g,2.3 g,
CHOCOS - 10,"8 kj
(2 kcal)",17 g,2 g,3.9 g,1 g,4 g,1 g
Muscle Gainer,"929 kj
(222 kcal)",25.5 g,24 g,2.5 g,5 g,,
Vegan Plant Protein Powder - Be Bodywise,"381 kj
(91 kcal)",20.44 g,1.96 g,0.17 g,,,
Choco - Delhaize,"9,355 kj
(2236 kcal)",5.7 g,57 g,31 g,3.9 g,55 g,
Boules de Sésame sucré - CHITTI,"1,762 kj
(421 kcal)",5.3 g,36.8 g,21.1 g,3.93 g,36.2 g,
Mustard oil - Nature Active,"3,766 kj
(900 kcal)",,,100 g,,,
Nacho chips sweet chilli - Cornitos nacho chips,"2,062 kj
(492 kcal)",7.143 g,64.286 g,25 g,7.143 g,,
Dairy Milk,,,,,,,0%
Lait de soja - Bon Déjeuner,"351 kj
(84 kcal)",3 g,11 g,3 g,,,
Lait de soja - Bon Déjeuner,"251 kj
(60 kcal)",2 g,10.72 g,1.12 g,,,
Hot&Spicy Samosa - Haldiram,"1,297 kj
(310 kcal)",5.143 g,35.286 g,16 g,2.143 g,,
Tops Mango Pickle - 1 Kg,"122 kj
(122 kcal)",1.4 g,20 g,4 g,0 g,0 g,0 g
Nestle Resource High Protein - 1Kg,"372 kj
(372 kcal)",45 g,41.7 g,2.8 g,5 g,0.1 g,0.525 g
Women Horlicks - Horlics - 400g,"359 kj
(359 kcal)",15 g,68.2 g,3 g,0 g,0 g,0 g
Cabruary Bourn Vita - 1 Kg,"393 kj
(393 kcal)",7 g,85.2 g,1.8 g,3.6 g,32 g,0 g
Women Horlicks - Horlics - 400g,"359 kj
(359 kcal)",15 g,68.2 g,3 g,0 g,0 g,0 g
Veer - 4,,,,,,,0%
FULL 365 - 24,,,,,,,0%
Hing - Ramdev,"1,574 kj
(376 kcal)",8.4 g,75.61 g,4.46 g,6.1 g,,
Malabar parota - 10 Nos,10.1 g,,0.2 g,7.02 g,,,0%
Sarson ka saag - Sohna,"251 kj
(60 kcal)",3 g,11 g,,7 g,,
Oat Granola - Express FOODS,"1,992 kj
(476 kcal)",8.5 g,67 g,19.1 g,4 g,12.1 g,
Riz basmati - Alishaan,"1,460 kj
(349 kcal)",8 g,78 g,0.5 g,1.5 g,,
Bhindi - Ashoka,"146 kj
(35 kcal)",1 g,6 g,,,,
Greek yogurt smoothie,"314 kj
(75 kcal)",4 g,12.2 g,1.5 g,,12.1 g,0 g
"High Calorie Gainer, Chocolate Flavour - Muscleblaze","1,569 kj
(375 kcal)",16.1 g,75 g,2.2 g,1.4 g,,
Figaro - 200ml,,,,,,,100%
Srikhand,"979 kj
(234 kcal)",5.3 g,42 g,5 g,,41 g,
Kinder CereAlé - Kinder,"2,092 kj
(500 kcal)",6.6 g,64.7 g,23.1 g,3.3 g,27.1 g,0.238 g
Pickel,"837 kj
(200 kcal)",3.39 g,21.3 g,11.3 g,,3.26 g,
Oil - 1l,"0 kj
(0 kcal)",0 g,0 g,0.1 g,0 g,0 g,0 g
Lassi,"490 kj
(117 kcal)",2.4 g,20.7 g,2.7 g,,16 g,
