food_item,calories,proteins,carbohydrates,fats,fibers,sugars,category,sodium,cholesterol,meal_type,water_intake,source_file
Tomato And Anchovy Pasta,755.0,24.0,109.0,22.0,19.0,9.0,,,,,,Food_1.csv
Blueberry Cream Muffins,264.0,4.0,32.0,13.0,0.0,13.0,,,,,,Food_1.csv
One-Pot Lemon Garlic Shrimp Pasta,678.0,38.0,49.0,37.0,4.0,2.0,,,,,,Food_1.csv
One-Pot Garlic Parmesan Pasta,334.0,13.0,49.0,10.0,1.0,6.0,,,,,,Food_1.csv
Chocolate Mug Cake,500.0,8.0,72.0,20.0,4.0,36.0,,,,,,Food_1.csv
3-Ingredient Teriyaki Chicken,366.0,48.0,20.0,9.0,0.0,17.0,,,,,,Food_1.csv
3 Ingredient Peanut Butter Cookies,81.0,2.0,5.0,5.0,0.0,3.0,,,,,,Food_1.csv
Garlic Shrimp Bacon Alfredo,1147.0,58.0,101.0,63.0,4.0,8.0,,,,,,Food_1.csv
Creamy Cajun Pasta,887.0,18.0,83.0,52.0,4.0,12.0,,,,,,Food_1.csv
Creamy Chicken Penne Pasta,703.0,47.0,37.0,46.0,2.0,5.0,,,,,,Food_1.csv
One-Pot Cheeseburger Pasta,699.0,33.0,66.0,29.0,0.0,12.0,,,,,,Food_1.csv
Garlic Shrimp Scampi,810.0,61.0,86.0,23.0,3.0,3.0,,,,,,Food_1.csv
One-Pot Broccoli Cheddar Soup,889.0,35.0,29.0,71.0,30.0,9.0,,,,,,Food_1.csv
Healthy Banana Pancakes,186.0,7.0,30.0,4.0,4.0,10.0,,,,,,Food_1.csv
Buttermilk Pancakes,450.0,15.0,64.0,14.0,8.0,10.0,,,,,,Food_1.csv
Creamy Lemon Chicken,636.0,56.0,31.0,34.0,35.0,2.0,,,,,,Food_1.csv
How To Make The Fluffiest Pancakes,301.0,7.0,33.0,15.0,13.0,6.0,,,,,,Food_1.csv
Spaghetti With Garlic And Oil,299.0,7.0,42.0,10.0,1.0,1.0,,,,,,Food_1.csv
Easy Glazed Pork Chops,512.0,35.0,9.0,37.0,0.0,8.0,,,,,,Food_1.csv
Honey BBQ Chicken Wings,181.0,8.0,20.0,7.0,2.0,13.0,,,,,,Food_1.csv
Microwave 5-Minute Mac 'N' Cheese,448.0,19.0,65.0,11.0,2.0,4.0,,,,,,Food_1.csv
