food_item,calories,proteins,carbohydrates,fats,fibers,sugars,category,sodium,cholesterol,meal_type,water_intake,source_file
Tomato And Anchovy Pasta,755,24,109,22,19,9,,,,,,Food_1.csv
Blueberry Cream Muffins,264,4,32,13,0,13,,,,,,Food_1.csv
One-Pot Lemon Garlic Shrimp Pasta,678,38,49,37,4,2,,,,,,Food_1.csv
One-Pot Garlic Parmesan Pasta,334,13,49,10,1,6,,,,,,Food_1.csv
Chocolate Mug Cake,500,8,72,20,4,36,,,,,,Food_1.csv
3-Ingredient Teriyaki Chicken,366,48,20,9,0,17,,,,,,Food_1.csv
3 Ingredient Peanut Butter Cookies,81,2,5,5,0,3,,,,,,Food_1.csv
Garlic Shrimp Bacon Alfredo,1147,58,101,63,4,8,,,,,,Food_1.csv
Creamy Cajun Pasta,887,18,83,52,4,12,,,,,,Food_1.csv
Creamy Chicken Penne Pasta,703,47,37,46,2,5,,,,,,Food_1.csv
Easy One-Pot Mac ‘n’ Cheese,865,33,71,47,0,12,,,,,,Food_1.csv
Jacket Potato: The Pizazz,105,0,24,0,13,11,,,,,,Food_1.csv
One-Pot Cheeseburger Pasta,699,33,66,29,0,12,,,,,,Food_1.csv
Garlic Shrimp Scampi,810,61,86,23,3,3,,,,,,Food_1.csv
One-Pot Broccoli Cheddar Soup,889,35,29,71,30,9,,,,,,Food_1.csv
Healthy Banana Pancakes,186,7,30,4,4,10,,,,,,Food_1.csv
Buttermilk Pancakes,450,15,64,14,8,10,,,,,,Food_1.csv
Creamy Lemon Chicken,636,56,31,34,35,2,,,,,,Food_1.csv
How To Make The Fluffiest Pancakes,301,7,33,15,13,6,,,,,,Food_1.csv
Spaghetti With Garlic And Oil,299,7,42,10,1,1,,,,,,Food_1.csv
Easy Glazed Pork Chops,512,35,9,37,0,8,,,,,,Food_1.csv
Honey BBQ Chicken Wings,181,8,20,7,2,13,,,,,,Food_1.csv
Microwave 5-Minute Mac 'N' Cheese,448,19,65,11,2,4,,,,,,Food_1.csv
3-ingredient Mac & Cheese,803,37,100,27,3,18,,,,,,Food_1.csv
Easy Beef And Broccoli,445,34,32,17,1,14,,,,,,Food_1.csv
Weekday Meal-Prep Pesto Chicken & Veggies,394,23,15,28,5,7,,,,,,Food_1.csv
Weekday Meal-prep Chicken Teriyaki Stir-fry,404,41,49,6,5,36,,,,,,Food_1.csv
Chocolate Hazelnut Mug Cakes,729,15,79,38,6,57,,,,,,Food_1.csv
Cookies and Cream Cheesecake Cookies,239,2,26,14,0,13,,,,,,Food_1.csv
Baked Churro Bites,43,1,4,2,0,0,,,,,,Food_1.csv
No-Bake Cookies and Cream Cheesecake,716,11,30,62,0,22,,,,,,Food_1.csv
Grilled Cheese,1897,69,312,42,13,27,,,,,,Food_1.csv
The Fluffiest Vegan Pancakes,157,3,32,1,1,4,,,,,,Food_1.csv
One Skillet Ground Beef Stroganoff,992,39,95,41,2,17,,,,,,Food_1.csv
One-Pot Taco Spaghetti,625,41,52,26,4,6,,,,,,Food_1.csv
Cacio e Pepe (Spaghetti with Cheese and Pepper),429,15,46,21,1,1,,,,,,Food_1.csv
Shrimp Spinach Bacon Alfredo,1413,82,102,81,4,9,,,,,,Food_1.csv
Asparagus-Stuffed Chicken Breast,209,35,2,5,1,0,,,,,,Food_1.csv
Eggs,173,42.4,83.7,1.5,1.5,12.7,Meat,752,125.0,Lunch,478.0,Food_2.csv
Apple,66,39.2,13.8,3.2,2.6,12.2,Fruits,680,97.0,Lunch,466.0,Food_2.csv
Chicken Breast,226,27.1,79.1,25.8,3.2,44.7,Meat,295,157.0,Breakfast,635.0,Food_2.csv
Banana,116,43.4,47.1,16.1,6.5,44.1,Fruits,307,13.0,Snack,379.0,Food_2.csv
