food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
2 minute noodle - Maggi,389.0,0.0,59.6,13.5,2.0,1.8,2.571,0.0
2-minute noodles - Maggi - 70g,389.0,2.0,0.13,13.5,1.8,59.6,8.2,43.0
2-minutes masala noodles - Nestle nutrition - 280g,389.0,8.2,59.6,13.5,2.0,1.8,1.028,0.0
3 Ingredient Peanut Butter Cookies,81.0,2.0,5.0,5.0,0.0,3.0,428.4,25.0
3-Ingredient Teriyaki Chicken,366.0,48.0,20.0,9.0,0.0,17.0,237.2,2.4
3-ingredient Mac & Cheese,803.0,37.0,100.0,27.0,3.0,18.0,550.8,28.6
5 star - Cadbury - 5rs,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
50-50 - Britannia - 50g,502.0,7.0,60.0,26.0,3.56,10.0,715.6,8.2
50-50 Maska Chaska - Britannia - 45.5g,502.0,0.0,0.0,26.0,7.5,60.0,7.0,37.2
50-50 sweet and salt - Britannia,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
5star - Cadbury - 25g,447.0,3.3,72.7,15.9,1.42,60.5,0.378,0.0
"ABALONE,MIXED SPECIES,RAW",105.0,17.1,6.01,0.76,0.0,0.0,301.0,85.0
"ABALONE,MXD SP,CKD,FRIED",189.0,19.63,11.05,6.78,0.0,5.552200000000001,591.0,94.0
"ABIYUCH,RAW",69.0,1.5,17.6,0.1,5.3,8.55,20.0,3.4
"ACEROLA JUICE,RAW",23.0,0.4,4.8,0.3,0.3,4.5,3.0,0.0
"ACEROLA,(WEST INDIAN CHERRY),RAW",32.0,0.4,7.69,0.3,1.1,5.302,7.0,0.0
"ACORN FLOUR,FULL FAT",501.0,7.49,54.65,30.17,3.5286,15.188,0.0,0.0
ACORN STEW (APACHE),95.0,6.81,9.22,3.47,0.7,0.34,130.0,20.0
"ACORNS,DRIED",509.0,8.1,53.66,31.41,4.1,20.64,0.0,0.0
"ACORNS,RAW",387.0,6.15,40.75,23.86,1.2,1.08,0.0,0.0
"AGAVE,CKD (SOUTHWEST)",135.0,0.99,32.0,0.29,10.6,20.87,13.0,0.0
"AGAVE,DRIED (SOUTHWEST)",341.0,1.71,81.98,0.69,15.6,50.7,14.0,0.0
"AGAVE,RAW (SOUTHWEST)",68.0,0.52,16.23,0.15,6.6,2.58,14.0,0.0
"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",470.0,9.0,10.5,43.5,16.986,19.39,24.0,26.0
"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",353.0,3.4,13.4,31.8,0.5,16.156,21.0,10.0
"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",258.0,21.7,0.9,18.6,0.0,0.0,95.0,89.0
"ALCOHOLIC BEV DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 100PROOF",295.0,0.0,0.0,0.0,0.0,4.8100000000000005,1.0,0.0
"ALCOHOLIC BEV,BEER,LT",29.0,0.24,1.64,0.0,0.0,0.09,4.0,0.0
"ALCOHOLIC BEV,BEER,LT,BUD LT",29.0,0.25,1.3,0.0,0.0,0.038,3.0,0.0
"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",28.0,0.2,0.87,0.0,0.0,0.038,3.0,0.0
"ALCOHOLIC BEV,BEER,LT,HIGHER ALCOHOL",46.0,0.25,0.77,0.0,0.0,0.09,4.0,0.0
"ALCOHOLIC BEV,BEER,LT,LO CARB",27.0,0.17,0.73,0.0,0.0,0.0,3.0,0.0
"ALCOHOLIC BEV,BEER,REG,ALL",43.0,0.46,3.55,0.0,0.0,0.0,4.0,0.0
"ALCOHOLIC BEV,BEER,REG,BUDWEISER",41.0,0.36,2.97,0.0,0.0,1.6566,3.0,0.0
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",371.0,0.0,41.6,0.3,0.0,41.6,5.0,0.0
"ALCOHOLIC BEV,DAIQUIRI,CND",125.0,0.0,15.7,0.0,0.0,12.256,40.0,0.0
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",186.0,0.06,6.94,0.06,0.1,5.58,5.0,0.0
