_id,food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
6846e41bf944a41ef73f9efa,2 minute noodle - Maggi,389.0,0.0,59.6,13.5,2.0,1.8,2.571,0.0
6846e41bf944a41ef73f9efb,2-minute noodles - Maggi - 70g,389.0,2.0,0.13,13.5,1.8,59.6,8.2,43.0
6846e41bf944a41ef73f9efc,2-minutes masala noodles - Nestle nutrition - 280g,389.0,8.2,59.6,13.5,2.0,1.8,1.028,0.0
6846e41bf944a41ef73f9efd,3 Ingredient Peanut Butter Cookies,81.0,2.0,5.0,5.0,0.0,3.0,428.4,25.0
6846e41bf944a41ef73f9efe,3-Ingredient Teriyaki Chicken,366.0,48.0,20.0,9.0,0.0,17.0,237.2,2.4
6846e41bf944a41ef73f9eff,3-ingredient Mac & Cheese,803.0,37.0,100.0,27.0,3.0,18.0,550.8,28.6
6846e41bf944a41ef73f9f00,5 star - Cadbury - 5rs,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
6846e41bf944a41ef73f9f01,50-50 - Britannia - 50g,502.0,7.0,60.0,26.0,3.56,10.0,715.6,8.2
6846e41bf944a41ef73f9f02,50-50 Maska Chaska - Britannia - 45.5g,502.0,0.0,0.0,26.0,7.5,60.0,7.0,37.2
6846e41bf944a41ef73f9f03,50-50 sweet and salt - Britannia,140.4,1.56,32.186,17.424,0.52,1.376,0.0,104.2
6846e41bf944a41ef73f9f04,5star - Cadbury - 25g,447.0,3.3,72.7,15.9,1.42,60.5,0.378,0.0
6846e41bf944a41ef73f9f05,"Abalone, Mixed Speciesecies, Raw",105.0,17.1,6.01,0.76,0.0,0.0,301.0,85.0
6846e41bf944a41ef73f9f06,"Abalone, Mixed Species, Cooked,Fried",189.0,19.63,11.05,6.78,0.0,5.552200000000001,591.0,94.0
6846e41bf944a41ef73f9f07,"Abiyuch, Raw",69.0,1.5,17.6,0.1,5.3,8.55,20.0,3.4
6846e41bf944a41ef73f9f08,"Acerola Juice, Raw",23.0,0.4,4.8,0.3,0.3,4.5,3.0,0.0
6846e41bf944a41ef73f9f09,"Acerola,(West Indian Cherry),Raw",32.0,0.4,7.69,0.3,1.1,5.302,7.0,0.0
6846e41bf944a41ef73f9f0a,"Acorn Flour, Full Fat",501.0,7.49,54.65,30.17,3.5286,15.188,0.0,0.0
6846e41bf944a41ef73f9f0b,Acorn Stew (Apache),95.0,6.81,9.22,3.47,0.7,0.34,130.0,20.0
6846e41bf944a41ef73f9f0c,"Acorns, Dried",509.0,8.1,53.66,31.41,4.1,20.64,0.0,0.0
6846e41bf944a41ef73f9f0d,"Acorns, Raw",387.0,6.15,40.75,23.86,1.2,1.08,0.0,0.0
6846e41bf944a41ef73f9f0e,"Agave, Cooked (Southwest)",135.0,0.99,32.0,0.29,10.6,20.87,13.0,0.0
6846e41bf944a41ef73f9f0f,"Agave, Dried (Southwest)",341.0,1.71,81.98,0.69,15.6,50.7,14.0,0.0
6846e41bf944a41ef73f9f10,"Agave, Raw (Southwest)",68.0,0.52,16.23,0.15,6.6,2.58,14.0,0.0
6846e41bf944a41ef73f9f11,"Agutuk, Fish w/ Shortening (Alaskan Ice Cream) (Alaska Native",470.0,9.0,10.5,43.5,16.986,19.39,24.0,26.0
6846e41bf944a41ef73f9f12,"Agutuk, Fish/Berry w/ Seal Oil (Ice Cream) (Alaska Native)",353.0,3.4,13.4,31.8,0.5,16.156,21.0,10.0
6846e41bf944a41ef73f9f13,"Agutuk, Meat-Caribou (Alaskan Ice Cream) (Alaska Native)",258.0,21.7,0.9,18.6,0.0,0.0,95.0,89.0
6846e41bf944a41ef73f9f14,"Alcoholic Beverage Distilled, All (Gin, Rum,Vodka, Whiskey) 100Proof",295.0,0.0,0.0,0.0,0.0,4.8100000000000005,1.0,0.0
6846e41bf944a41ef73f9f15,"Alcoholic Beverage, Beer,Lt",29.0,0.24,1.64,0.0,0.0,0.09,4.0,0.0
6846e41bf944a41ef73f9f16,"Alcoholic Beverage, Beer,lt, Bud Lt",29.0,0.25,1.3,0.0,0.0,0.038,3.0,0.0
6846e41bf944a41ef73f9f17,"Alcoholic Beverage, Beer,lt, Budweiser Sel",28.0,0.2,0.87,0.0,0.0,0.038,3.0,0.0
