#{"t_start": 1749475777.1533613, "env_id": "None"}
r,l,t
0.221632,7,14.742109
0.221632,7,14.747108
0.221632,7,14.752116
0.221632,7,14.756114
0.221632,7,14.761114
0.587037,7,32.643404
0.587037,7,32.650023
0.587037,7,32.657021
0.587037,7,32.663031
0.587037,7,32.670032
,2.481277
1.384945,7,2.500283
0.711435,7,2.517274
0.899319,7,2.533949
0.404931,7,2.544954
1.378549,7,2.558473
0.792503,7,2.571474
0.963872,7,2.585472
0.813967,7,2.599476
-0.332053,7,2.612476
1.23206,7,2.623473
0.50813,7,2.638479
0.622879,7,2.651015
0.399667,7,2.667019
1.203786,7,2.682017
1.110052,7,2.69902
1.252203,7,2.717017
1.303261,7,2.737033
0.748979,7,2.755541
1.205432,7,2.77555
1.192218,7,2.794545
1.41467,7,2.813543
0.713308,7,2.830551
0.556531,7,2.84955
1.381505,7,2.870068
0.804765,7,2.887074
0.696094,7,2.907068
1.156129,7,2.929067
0.343922,7,2.952586
0.641453,7,2.972586
0.957383,7,2.995586
0.768805,7,3.011589
1.255705,7,3.028585
0.92932,7,3.049595
1.427209,7,3.066107
1.308433,7,3.08811
0.907079,7,3.108105
0.174397,7,3.126107
1.15777,7,3.149621
1.276188,7,3.170627
0.975211,7,3.190314
1.337203,7,3.204313
1.364636,7,3.221311
1.209454,7,3.239318
1.390149,7,3.253831
1.17661,7,3.267833
0.845031,7,3.283832
0.756819,7,3.302834
1.284236,7,3.318835
0.457135,7,3.333837
0.897183,7,3.34884
0.975267,7,3.364353
1.053663,7,3.382352
1.200818,7,3.39935
0.997194,7,3.418351
0.601398,7,3.43435
1.11587,7,3.456871
1.211434,7,3.483872
1.015665,7,3.502878
1.118015,7,3.525873
1.098831,7,3.545879
1.143905,7,3.566396
1.022427,7,3.584395
1.413779,7,3.605395
0.956279,7,3.625396
1.089424,7,3.647404
0.657773,7,3.667917
0.701623,7,3.684919
1.199097,7,3.698918
1.003882,7,3.71492
1.078646,7,3.731925
1.317588,7,3.748923
1.260895,7,3.767439
1.185012,7,3.78344
0.86401,7,3.802439
0.951419,7,3.817442
0.953282,7,3.840448
0.925173,7,3.878963
0.52284,7,3.915962
8.8e-05,7,3.954494
0.360894,7,3.989486
1.148561,7,4.008485
1.123466,7,4.038494
1.205876,7,4.054008
1.216007,7,4.069006
1.247639,7,4.084007
-2.535832,7,4.095005
1.047799,7,4.10601
1.245816,7,4.118006
1.387042,7,4.134007
0.946539,7,4.147016
0.171554,7,4.159203
0.764746,7,4.171203
1.176569,7,4.184206
1.370795,7,4.1952
0.804845,7,4.205202
1.134986,7,4.220201
1.093398,7,4.235204
1.179938,7,4.24421
0.763017,7,4.251724
1.368465,7,4.261723
-0.969332,7,4.269725
1.313795,7,4.279723
0.691349,7,4.288724
0.352468,7,4.297724
1.066601,7,4.306724
0.488195,7,4.313721
1.088082,7,4.322721
1.233477,7,4.330721
1.06662,7,4.340731
1.003637,7,4.348732
1.143089,7,4.357245
0.745971,7,4.364244
0.957171,7,4.374246
1.041722,7,4.383245
1.068127,7,4.393242
1.160206,7,4.404247
1.036471,7,4.415244
1.008119,7,4.425243
0.474697,7,4.435243
1.367406,7,4.445248
0.451003,7,4.45476
0.772484,7,4.464764
0.845587,7,4.474763
0.80108,7,4.486762
0.908513,7,4.497761
0.302948,7,4.509764
1.249587,7,4.522761
0.957381,7,4.533763
0.911478,7,4.543782
1.273789,7,4.553278
0.158021,7,4.564288
1.130207,7,4.574277
1.171945,7,4.586281
1.226849,7,4.595278
0.189502,7,4.606278
1.317962,7,4.615278
0.395999,7,4.627278
1.182084,7,4.637288
0.947796,7,4.646288
1.267759,7,4.657408
1.370618,7,4.669409
0.402521,7,4.68041
1.465515,7,4.690408
1.163785,7,4.699409
0.921619,7,4.708411
0.952181,7,4.717408
1.246387,7,4.729412
1.125647,7,4.738416
1.063701,7,4.748416
0.928254,7,4.757926
0.810357,7,4.767926
1.132836,7,4.780924
1.451299,7,4.794923
0.939058,7,4.805925
1.316322,7,4.816923
1.357395,7,4.827927
0.733026,7,4.839942
1.23248,7,4.84894
